,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
13393,1,0,1,1,0,0,1,0,0,0,1,0,3
5262,1,1,1,1,0,0,1,1,0,0,1,1,1
3420,0,1,1,1,0,0,1,1,1,0,1,1,0
4870,1,0,1,1,0,0,1,0,0,0,1,1,3
17113,1,0,1,1,0,0,1,0,0,0,1,1,3
10560,1,0,1,1,0,0,1,1,0,0,1,1,0
13397,1,0,1,1,0,0,1,1,0,0,1,1,3
18437,0,0,1,1,1,0,1,1,0,0,1,0,3
4266,0,0,1,1,1,0,1,1,0,0,1,0,3
4132,1,0,1,1,0,0,1,1,0,0,1,1,2
1773,1,0,1,1,0,0,1,1,0,0,1,1,2
144,0,0,1,1,0,0,1,1,1,0,1,0,0
5098,1,0,1,1,0,0,1,0,0,0,1,1,3
2991,1,0,1,1,0,0,1,0,0,0,1,1,3
18254,0,0,1,1,0,0,0,1,1,0,1,0,2
6194,1,0,1,1,0,0,1,1,0,0,1,0,0
13782,0,0,1,1,0,0,1,1,0,0,1,0,0
10907,1,0,1,1,0,0,1,1,0,0,1,1,3
11479,0,0,1,1,0,0,1,1,0,0,1,0,3
16784,1,0,1,1,0,0,1,1,0,1,1,1,3
13938,0,0,1,1,0,0,1,1,0,0,1,0,3
12902,1,0,1,1,0,0,1,1,0,0,1,1,0
14168,0,0,1,1,0,0,1,1,0,0,1,0,3
6136,1,1,1,1,0,0,1,1,0,1,1,1,3
3401,1,1,0,1,0,0,1,1,1,1,1,1,0
11664,0,0,1,1,0,0,1,1,0,0,1,0,0
9001,1,0,1,1,0,0,1,1,0,0,0,1,2
14058,0,0,1,0,0,0,1,1,1,0,1,0,1
5389,1,0,0,1,0,0,1,1,0,1,1,0,3
8618,0,0,1,1,0,0,1,1,0,0,1,0,0
11734,0,0,1,1,0,0,1,1,0,0,1,0,3
593,1,1,1,1,0,0,1,1,0,0,1,1,3
18289,0,0,1,1,0,0,0,1,0,0,0,0,0
3657,0,0,1,0,0,0,1,1,0,0,1,0,0
5382,0,0,1,1,0,0,1,1,0,0,1,0,3
17671,1,0,1,1,0,0,1,1,0,1,1,1,3
8823,0,0,1,1,0,0,1,1,0,0,1,0,0
3580,1,0,0,0,0,0,1,1,0,0,1,0,3
16721,1,0,1,1,0,0,1,1,0,0,1,1,3
13252,1,0,1,1,0,0,1,0,0,0,1,1,3
7613,0,0,1,1,0,0,1,1,0,0,1,0,0
12930,1,0,1,1,0,0,1,1,0,0,1,1,3
15957,1,0,0,1,0,0,1,1,0,0,1,0,0
8079,1,0,0,1,0,0,1,1,0,1,1,0,3
13465,1,0,1,1,0,0,1,0,0,0,1,1,2
4,1,0,1,1,0,0,1,1,0,0,1,1,0
