,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
11963,0,0,1,1,0,0,1,1,0,0,1,0,3
17215,0,0,1,1,0,0,1,1,0,0,1,0,0
7896,0,1,1,1,0,0,1,1,0,0,1,1,1
9481,1,0,1,1,0,0,1,1,0,0,1,1,3
811,1,0,0,1,0,0,1,1,0,1,1,1,0
4124,1,0,1,1,0,0,1,1,0,0,1,1,2
8489,1,0,0,1,0,0,1,1,0,1,0,0,2
506,1,0,1,1,0,0,1,1,0,0,1,1,3
10708,1,0,0,1,0,0,1,1,0,0,1,0,0
1169,1,0,1,1,0,0,1,1,0,1,1,1,2
17417,1,0,1,1,0,0,1,1,0,0,1,1,2
13113,1,0,1,1,0,0,1,0,0,0,0,1,3
18586,1,0,0,1,0,0,0,1,0,0,0,0,0
17219,1,0,0,1,0,0,1,1,0,0,1,0,0
7736,0,0,1,1,0,0,1,1,0,0,1,0,3
7825,0,0,1,1,0,0,1,1,0,0,1,0,3
7361,1,0,1,1,0,0,1,1,0,0,0,1,2
10090,1,0,1,1,0,0,1,1,0,1,1,1,2
6973,1,1,1,1,0,0,1,1,0,0,1,1,0
11180,1,1,0,1,0,0,1,1,1,0,1,1,3
12682,1,1,1,1,0,0,1,1,0,0,1,0,2
71,0,0,1,1,1,0,1,1,1,0,1,0,0
12476,0,0,1,1,0,0,1,1,1,0,1,0,1
18358,0,1,1,0,0,0,0,1,0,0,1,0,0
8853,1,0,0,1,0,0,1,1,0,0,1,0,3
3049,1,0,0,1,0,0,1,1,0,0,1,0,3
8815,1,0,1,1,0,0,1,1,0,0,1,1,3
4878,1,0,1,1,0,0,1,0,0,1,1,1,3
12659,0,0,1,1,0,0,1,1,0,0,1,0,0
3525,0,0,1,1,0,0,1,1,0,0,1,0,1
12522,0,0,1,1,0,0,1,1,0,0,1,0,0
1206,1,0,1,1,0,0,1,0,0,1,1,0,3
4203,0,0,1,1,0,0,1,1,0,0,1,0,0
17294,1,0,1,1,0,0,1,1,0,1,1,1,3
10060,0,0,1,1,0,0,1,1,0,0,1,0,0
4924,1,0,1,1,0,0,1,1,0,0,0,1,3
7600,1,0,1,1,0,0,1,0,0,0,1,0,0
1907,1,0,1,1,0,0,1,0,0,0,1,0,3
10377,1,0,1,1,0,0,1,1,0,1,1,1,3
2640,1,0,1,1,0,0,1,0,0,0,1,0,0
8635,1,0,0,1,0,0,1,1,0,0,1,0,0
4607,1,0,1,1,0,0,1,0,0,0,1,1,1
12867,0,0,1,1,0,0,1,1,0,0,1,0,0
6917,1,0,1,1,0,0,1,1,0,0,0,1,0
5251,1,0,1,1,0,0,1,1,0,0,1,1,3
2608,0,0,1,1,0,0,1,0,0,0,1,0,0
1643,1,0,1,1,0,0,1,1,0,1,1,0,2
5166,0,1,1,1,0,0,1,1,0,0,1,1,0
13791,1,0,1,1,0,0,1,1,0,0,1,1,0
14347,1,0,1,1,0,0,1,1,0,0,1,0,0
15356,0,0,1,1,0,0,0,1,0,0,0,0,2
14293,0,0,1,1,0,0,1,1,0,0,1,0,3
2,1,0,1,1,0,0,1,1,0,0,1,1,3
18564,1,0,0,1,0,0,0,1,0,0,1,0,0
15364,1,0,0,1,0,0,1,1,0,0,1,0,3
2445,1,0,1,1,0,0,1,1,0,0,1,0,0
6377,1,0,1,1,0,0,1,1,0,0,1,1,2
5425,1,0,1,1,0,0,1,0,0,1,1,1,3
10286,0,1,1,1,0,0,1,1,1,0,1,1,2
3621,1,1,1,1,0,0,1,0,0,1,1,0,3
12047,0,1,1,1,0,0,1,1,0,0,1,0,3
14289,1,0,0,1,0,0,1,1,0,0,1,0,3
15689,1,0,1,1,0,0,1,1,0,1,1,1,3
7850,0,1,1,1,0,0,1,1,0,0,1,1,0
16573,0,0,1,1,0,0,1,1,0,0,1,0,4
8574,0,0,1,1,0,0,1,1,0,0,1,0,0
16980,0,0,1,1,0,0,1,1,0,0,1,0,0
13679,0,0,1,1,0,0,1,1,0,0,1,0,1
12000,1,0,0,1,0,0,1,1,0,1,1,1,0
11738,0,0,1,1,0,0,1,1,0,0,1,0,0
16305,0,0,1,1,0,0,1,1,0,0,1,0,3
2147,1,0,1,1,0,0,1,1,0,1,1,1,3
1663,1,0,1,1,0,0,1,1,0,1,1,1,0
540,1,0,1,1,0,0,1,1,0,1,1,1,3
17025,0,0,1,1,0,0,1,1,1,0,1,0,0
12218,1,1,1,1,0,0,1,1,0,0,1,0,0
18518,0,0,1,1,1,0,0,1,0,0,0,0,0
18977,0,0,0,1,0,0,0,1,0,0,1,0,0
5064,1,0,0,1,0,0,1,1,0,1,1,0,3
2488,1,1,1,1,0,0,1,1,0,1,1,1,2
16172,1,0,1,1,0,0,1,1,0,0,1,1,3
3096,1,0,1,1,0,0,1,1,0,0,1,0,3
18758,0,0,1,1,0,0,0,1,0,0,1,0,2
13796,0,1,1,0,0,0,1,1,0,0,1,1,3
10006,1,0,1,1,0,0,1,1,0,0,1,1,0
3437,1,1,1,1,0,0,1,1,0,1,1,1,3
14358,1,0,1,1,0,0,1,1,0,1,1,1,1
5023,1,0,1,1,0,0,1,0,0,0,1,1,3
16985,1,0,1,1,0,0,1,0,0,0,1,0,0
5748,1,0,1,1,0,0,1,1,0,1,1,1,3
2886,0,0,1,1,0,0,1,1,0,0,1,0,3
8900,0,0,1,1,0,0,1,1,0,0,1,0,0
17577,1,0,1,1,0,0,1,1,0,0,1,1,3
10865,1,0,1,1,0,0,1,1,0,1,1,1,0
7203,1,0,1,1,0,0,1,1,0,1,1,0,0
5474,1,0,0,1,0,0,1,1,0,0,1,0,2
16337,0,0,1,1,0,0,1,1,1,0,1,0,3
13366,1,0,1,1,0,0,1,1,0,1,1,1,2
8265,0,1,1,1,0,0,1,1,1,0,1,1,1
6171,1,0,0,1,0,0,1,1,0,0,1,0,0
11956,1,1,0,1,0,0,1,1,1,0,1,1,3
